type,language,license,rightsHolder,accessRights,datasetID,institutionCode,datasetName,basisOfRecord,recordedBy,individualCount,samplingProtocol,eventDate,continent,countryCode,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,kingdom,nomenclaturalCode
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Royal Dutch Angling Association,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/6va6gm,Royal Dutch Angling Association,MijnVISmaat - Exotic fish occurrences in Belgium,HumanObservation,MijnVISmaat,present,fishing rod catch,2014-09-20T16:14,Europe,BE,51.26153,5.14074,WGS84,30,Animalia,ICZN
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Royal Dutch Angling Association,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/6va6gm,Royal Dutch Angling Association,MijnVISmaat - Exotic fish occurrences in Belgium,HumanObservation,MijnVISmaat,present,fishing rod catch,2014-09-21T16:30,Europe,BE,51.26153,5.14074,WGS84,30,Animalia,ICZN
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Royal Dutch Angling Association,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/6va6gm,Royal Dutch Angling Association,MijnVISmaat - Exotic fish occurrences in Belgium,HumanObservation,MijnVISmaat,present,fishing rod catch,2013-06-25T22:30,Europe,BE,50.90209,3.69029,WGS84,30,Animalia,ICZN
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Royal Dutch Angling Association,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/6va6gm,Royal Dutch Angling Association,MijnVISmaat - Exotic fish occurrences in Belgium,HumanObservation,MijnVISmaat,present,fishing rod catch,2013-07-21T21:30,Europe,BE,50.90209,3.69029,WGS84,30,Animalia,ICZN
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Royal Dutch Angling Association,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/6va6gm,Royal Dutch Angling Association,MijnVISmaat - Exotic fish occurrences in Belgium,HumanObservation,MijnVISmaat,present,fishing rod catch,2013-03-05T17:16,Europe,BE,51.21149,3.92594,WGS84,30,Animalia,ICZN
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Royal Dutch Angling Association,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/6va6gm,Royal Dutch Angling Association,MijnVISmaat - Exotic fish occurrences in Belgium,HumanObservation,MijnVISmaat,present,fishing rod catch,2013-06-06T13:07,Europe,BE,51.02598,3.99024,WGS84,30,Animalia,ICZN
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Royal Dutch Angling Association,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/6va6gm,Royal Dutch Angling Association,MijnVISmaat - Exotic fish occurrences in Belgium,HumanObservation,MijnVISmaat,present,fishing rod catch,2014-07-30T20:35,Europe,BE,51.07976,4.36652,WGS84,30,Animalia,ICZN
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Royal Dutch Angling Association,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/6va6gm,Royal Dutch Angling Association,MijnVISmaat - Exotic fish occurrences in Belgium,HumanObservation,MijnVISmaat,present,fishing rod catch,2012-08-06T16:15,Europe,BE,51.21687,5.16192,WGS84,30,Animalia,ICZN
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Royal Dutch Angling Association,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/6va6gm,Royal Dutch Angling Association,MijnVISmaat - Exotic fish occurrences in Belgium,HumanObservation,MijnVISmaat,present,fishing rod catch,2013-09-11T17:30,Europe,BE,51.17110,4.22891,WGS84,30,Animalia,ICZN
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,Royal Dutch Angling Association,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/6va6gm,Royal Dutch Angling Association,MijnVISmaat - Exotic fish occurrences in Belgium,HumanObservation,MijnVISmaat,present,fishing rod catch,2013-11-13T14:30,Europe,BE,51.17109,4.22894,WGS84,30,Animalia,ICZN
